owners equity,total operational expences,net profit,operational income,BCC score
1355334901.03,481319794.26,9218194599.04,481863433.31,0.5090756
6172486051.40,1468911433.60,9631773820.53,1876006502.09,0.6915604
8134737848.16,6379068774.51,9520714284.25,6449506322.28,0.7408586
2222073212.48,1128459291.32,9140167476.19,1053529409.92,0.5260865
2062461721.40,789481598.24,9312956684.18,980499677.82,0.6678870
39134792000.00,51159437000.00,9836215179.17,51111652000.00,0.8972273
1500105070.45,8305800334.69,9450919049.84,8724412328.64,0.9814603
3660899852.86,8147035639.83,9629552460.45,8761923443.60,0.9057877
800907362.73,270768847.92,9109955466.34,297563205.88,0.5293460
6479023435.46,188977972.71,9486022505.75,283736910.23,1.0000000
10720114170.91,2329167785.90,9676190454.95,3036308570.36,0.7155268
6335634542.62,5692123446.82,9547372202.10,6209017672.39,0.8107397
2876131685.10,1171939922.36,9190930356.85,1171925228.78,0.5564023
998090915.74,1639326994.73,9202117503.58,1767361161.81,0.8269114
37794960506.70,21957269755.74,8196423779.70,20022516698.58,0.7142271
44561669859.22,89030383073.95,12697485830.44,93183521384.54,0.9773420
7550536096.63,8643286788.34,10041718314.04,9607009637.50,0.8855078
3250116691.54,6585553076.36,9496997735.73,6965088878.56,0.8744920
1352150704.69,2418195578.89,8909423507.86,2217396594.66,0.7224401
824029315.73,7770761374.14,7663790392.59,6243792555.67,0.7747827
20481582435.04,16971132516.88,9317822692.94,16891229922.95,0.8098909
3470624664.18,7568570375.17,9532196550.56,8147651272.95,0.9029890
2917502836.97,1745386783.47,9221455419.77,1801125932.76,0.6625122
22530945.77,276659872.13,9026422243.13,78835008.81,1.0000000
7369944615.39,3657708706.59,9238346351.18,3782264517.80,0.6903011
265826870.04,689870151.72,9110948480.42,712101076.32,0.8807527
8847390923.02,7043433144.17,9148801782.43,7005395363.84,0.7321765
1546248045.97,192420089.23,9151245406.11,211481304.97,0.4201025
2058718815.65,2189658241.01,9208405450.61,2282154186.11,0.7382105
3936714437.35,501258213.04,9109495439.32,463125906.43,0.3927037
2895550808.72,966221511.90,9101540253.86,870332401.75,0.4704941
7389255302.88,2436471484.28,9581445104.16,2994541519.96,0.7401773
207879031.71,156257563.75,9001643626.04,63514424.29,0.3043453
662522871.40,434124418.76,9016799668.04,355699118.61,0.4693508
2665886509.76,3121675614.78,9188361952.70,3184514747.36,0.7506663
3196354846.23,75612372030.19,9654486714.50,75752128778.21,1.0000000
721303049.61,1084883414.54,9134930612.34,1113763303.68,0.7686299
1406266185.23,4885661133.03,9141174192.64,4919076571.43,0.8950266
306900894.72,165355315.92,9114959380.83,156171865.46,0.5516253
4334146955.95,15239270590.45,9529158955.44,15631806255.09,0.9276751
15864744781.08,8152294696.93,11302406455.05,10426244474.61,0.9211282
1289522359.44,1402344279.70,9117842269.79,1395099473.71,0.6802289
3512483479.31,4633085818.71,9118880593.25,4404461082.31,0.7207173
2025814718.94,2272295766.17,9249419965.99,2371746906.59,0.7458281
1374185390.93,1440456679.05,9258609208.34,1603066947.44,0.7586907
5474188465.76,40296925195.75,9228939293.07,40290753928.53,0.9679771
2993518847.20,430852960.36,9120196584.60,460813601.86,0.4680029
5220379363.91,2361288073.07,9311929749.12,2503911788.69,0.6739139
17703049191.29,25767328109.73,9556210052.18,26121848838.62,0.8957012
1288672616.50,967613465.61,9203468090.20,967144616.80,0.5892408
61414602.00,133475227.57,9039596373.23,72988250.84,0.5313986
2111907866.56,1187458697.31,9117654669.24,1204602488.71,0.6006986
2398526318.40,2837038492.50,9421417020.58,3022738431.85,0.7815815
1134096762.62,920071048.81,9158796707.24,993842901.37,0.6563669
3719767419.29,2026296070.63,8936796345.84,1834320842.51,0.5739933
